Date,Close,,,,,,,,,,,,,,,,,,,,,,,
25/09/2018,55.55,,,,,,,,,,,,,,,,,,,,,,,
26/09/2018,55.11,,,,,,,,,,,,,,,,,,,,,,,
27/09/2018,56.24,,,,,,,,,,,,,,,,,,,,,,,
28/09/2018,56.44,,,,,,,,,,,,,,,,,,,,,,,
1/10/2018,56.82,,,,,,,,,,,,,,,,,,,,,,,
2/10/2018,57.32,,,,,,,,,,,,,,,,,,,,,,,
3/10/2018,58.02,,,,,,,,,,,,,,,,,,,,,,,
4/10/2018,57,,,,,,,,,,,,,,,,,,,,,,,
5/10/2018,56.07,,,,,,,,,,,,,,,,,,,,,,,
8/10/2018,55.94,,,,,,,,,,,,,,,,,,,,,,,
9/10/2018,56.72,,,,,,,,,,,,,,,,,,,,,,,
10/10/2018,54.09,,,,,,,,,,,,,,,,,,,,,,,
11/10/2018,53.61,,,,,,,,,,,,,,,,,,,,,,,
12/10/2018,55.53,,,,,,,,,,,,,,,,,,,,,,,
15/10/2018,54.34,,,,,,,,,,,,,,,,,,,,,,,
16/10/2018,55.54,,,,,,,,,,,,,,,,,,,,,,,
17/10/2018,55.3,,,,,,,,,,,,,,,,,,,,,,,
